date,armed,age,race,city,state,signs_of_mental_illness,threat_level,flee,body_camera,longitude,latitude
2015-05-30,unarmed,19.0,White,Cottonwood,Arizona,False,attack,Foot,False,-111.986,34.69
2015-05-30,toy gun,39.0,Hispanic,Nashville,Tennessee,False,attack,Not fleeing,False,-86.709,36.126
2015-05-31,gun,40.0,NG,Medford,Oregon,True,attack,Not fleeing,False,-122.832,42.311
2015-05-31,toy gun,47.0,White,Palestine,Texas,False,attack,Not fleeing,True,-95.616,31.734
2015-06-01,gun,23.0,White,Greece,New York,True,attack,Other,False,-77.694,43.208
2015-06-02,knife,26.0,Black,Roslindale,Massachusetts,False,other,Not fleeing,False,-71.14,42.276
2015-06-02,knife,26.0,White,Azle,Texas,True,attack,Not fleeing,False,-97.517,32.869
2015-06-03,gun,18.0,Hispanic,Ellis County,Texas,True,attack,Car,False,-96.864,32.301
2015-06-03,knife,33.0,Hispanic,Fuqua,Texas,False,other,Car,False,-95.214,29.619
2015-06-03,gun,56.0,White,Byram,New Jersey,True,attack,Not fleeing,False,-74.741,40.953
2015-06-03,gun,46.0,Hispanic,Delano,California,False,attack,Car,False,-119.223,35.787
2015-06-03,unarmed,36.0,Hispanic,Los Lunas,New Mexico,False,attack,Not fleeing,False,-106.756,34.751
2015-06-05,gun,50.0,Hispanic,Santa Maria,California,False,attack,Not fleeing,False,-120.439,34.97
2015-06-05,vehicle,45.0,White,Morgantown,West Virginia,False,other,Car,False,-79.907,39.623
2015-06-06,gun,53.0,White,North Port,Florida,False,attack,Not fleeing,False,-82.25,27.059
2015-06-06,gun,45.0,Hispanic,Watsonsville,California,False,attack,Foot,False,-121.751,36.905
2015-06-06,sharp object,42.0,White,Midland,Texas,True,other,Not fleeing,False,-102.139,32.009
2015-06-06,gun,27.0,Hispanic,Strasburg,Colorado,False,attack,Car,False,-104.326,39.734
2015-06-06,gun,30.0,Black,Oakland,California,False,attack,Not fleeing,True,-122.243,37.809
